Referencia,Referencia_yyyymm,Indice
dez/1992,199212,0.000912
jan/1993,199301,0.0007355
fev/1993,199302,0.0005802
mar/1993,199303,0.0004584
abr/1993,199304,0.0003655
mai/1993,199305,0.0002842
jun/1993,199306,0.0002213
jul/1993,199307,0.0001701
ago/1993,199308,0.1304348
set/1993,199309,0.0978203
out/1993,199310,0.0726646
nov/1993,199311,0.0532222
dez/1993,199312,0.0390883
jan/1994,199401,0.0285733
fev/1994,199402,0.0202016
mar/1994,199403,0.0144437
abr/1994,199404,0.0101825
mai/1994,199405,0.0069754
jun/1994,199406,0.0047635
jul/1994,199407,8.9191719
ago/1994,199408,8.4079681
set/1994,199409,7.9726604
out/1994,199410,7.8540635
nov/1994,199411,7.7106458
dez/1994,199412,7.4664912
jan/1995,199501,7.3064795
fev/1995,199502,7.1864659
mar/1995,199503,7.1160172
abr/1995,199504,7.0170768
mai/1995,199505,6.8848863
jun/1995,199506,6.7123779
jul/1995,199507,6.5923967
ago/1995,199508,6.4341165
set/1995,199509,6.3691518
out/1995,199510,6.2954942
nov/1995,199511,6.2085752
dez/1995,199512,6.1162197
jan/1996,199601,6.0169397
fev/1996,199602,5.9303569
mar/1996,199603,5.888548
abr/1996,199604,5.8715207
mai/1996,199605,5.8174192
jun/1996,199606,5.743897
jul/1996,199607,5.6685059
ago/1996,199608,5.6012908
set/1996,199609,5.5734236
out/1996,199610,5.5723085
nov/1996,199611,5.5512146
dez/1996,199612,5.5324039
jan/1997,199701,5.5142068
fev/1997,199702,5.4699007
mar/1997,199703,5.4453968
abr/1997,199704,5.408618
mai/1997,199705,5.3763595
jun/1997,199706,5.370452
jul/1997,199707,5.3517218
ago/1997,199708,5.3421052
set/1997,199709,5.3437095
out/1997,199710,5.3383699
nov/1997,199711,5.3229336
dez/1997,199712,5.3149615
jan/1998,199801,5.2848376
fev/1998,199802,5.2402957
mar/1998,199803,5.2121495
abr/1998,199804,5.1867348
mai/1998,199805,5.1634988
jun/1998,199806,5.1265877
jul/1998,199807,5.1189091
ago/1998,199808,5.133282
set/1998,199809,5.1585592
out/1998,199810,5.1746003
nov/1998,199811,5.168914
dez/1998,199812,5.1782347
jan/1999,199901,5.1565779
fev/1999,199902,5.1232763
mar/1999,199903,5.0580276
abr/1999,199904,4.9941026
mai/1999,199905,4.9707403
jun/1999,199906,4.9682562
jul/1999,199907,4.9647813
ago/1999,199908,4.9283113
set/1999,199909,4.9013538
out/1999,199910,4.8823126
nov/1999,199911,4.8358886
dez/1999,199912,4.7908543
jan/2000,200001,4.7556621
fev/2000,200002,4.7268288
